iter	Logloss	Precision:use_weights=true	Precision:use_weights=false	Recall:use_weights=true	Recall:use_weights=false	F1:use_weights=true	F1:use_weights=false	AUC
0	0.6450167127	0.5972099508	0.1871501538	0.9733191619	0.9733191619	0.7402293712	0.3139364883	0.6584305546
1	0.6111509971	0.5972130637	0.1871521224	0.9733191619	0.9733191619	0.7402317624	0.313939258	0.6841318607
2	0.6015824834	0.5974202879	0.1872832196	0.9726705065	0.9726705065	0.7402031731	0.3140898813	0.6912072092
3	0.59469196	0.5974352699	0.1872927013	0.972639246	0.972639246	0.7402056203	0.3141015853	0.7081177104
4	0.5910884163	0.5975219049	0.1873475399	0.9723500864	0.9723500864	0.7401883454	0.3141636103	0.7099657698
5	0.5894074531	0.5984136961	0.1879129727	0.9703650445	0.9703650445	0.74029526	0.3148539079	0.7102865473
6	0.5887235579	0.599518565	0.1886158995	0.9663637003	0.9663637003	0.739970037	0.3156273212	0.7086917977
7	0.5885086831	0.5993639495	0.1885173719	0.9669889103	0.9669889103	0.7400354126	0.3155226602	0.7099162007
8	0.5884876636	0.5993348064	0.1884988065	0.9670748767	0.9670748767	0.7400383696	0.3155012315	0.7099162007
9	0.5871044927	0.5993932014	0.1885360084	0.9667544566	0.9667544566	0.7399890371	0.3155362775	0.7113917809
10	0.5870635048	0.5993616539	0.1885159094	0.9668326078	0.9668326078	0.7399878866	0.3155122902	0.7115373496
11	0.5868554159	0.600201092	0.1890514587	0.9605179865	0.9605179865	0.738767088	0.3159223259	0.710161472
12	0.5868531952	0.6002001817	0.1890508771	0.9605179865	0.9605179865	0.7387663984	0.3159215138	0.710161472
13	0.5852893722	0.600175419	0.1890350568	0.9644411795	0.9644411795	0.7399050854	0.3161108784	0.7140296136
14	0.5852891428	0.600175419	0.1890350568	0.9644411795	0.9644411795	0.7399050854	0.3161108784	0.7140296457
15	0.5850680344	0.6002375922	0.1890747802	0.9641207593	0.9641207593	0.7398580033	0.3161491949	0.7142599755
16	0.5847135964	0.6003700714	0.1891594514	0.9646678181	0.9646678181	0.7401197003	0.3162969711	0.7145740347
17	0.5845207351	0.6004570849	0.1892150851	0.9645818517	0.9645818517	0.7401605076	0.3163701191	0.7142795342
18	0.5836876033	0.6006799468	0.1893576517	0.9639175661	0.9639175661	0.7401340569	0.31653358	0.7169293135
19	0.5836511792	0.600624146	0.1893219452	0.9641989106	0.9641989106	0.7401746093	0.316498852	0.7169870285
20	0.5836374629	0.6006111655	0.18931364	0.9642379862	0.9642379862	0.7401762656	0.3164893515	0.7169870286
21	0.5836373894	0.6006116195	0.1893139305	0.9642379862	0.9642379862	0.7401766104	0.3164897574	0.7169875428
22	0.5829761563	0.6023337888	0.1904190425	0.9572903397	0.9572903397	0.7394195906	0.3176523826	0.7183086222
23	0.58247064	0.6032592538	0.1910156195	0.9527731972	0.9527731972	0.7387625466	0.3182310578	0.7193616051
24	0.5824706391	0.6032592538	0.1910156195	0.9527731972	0.9527731972	0.7387625466	0.3182310578	0.7193616051
25	0.5824683311	0.6032803354	0.1910292313	0.9526559704	0.9526559704	0.7387431107	0.3182434073	0.7193460035
26	0.581644561	0.6044835083	0.1918077316	0.9469821893	0.9469821893	0.737928163	0.3190026576	0.7206249043
27	0.5816445606	0.6044835083	0.1918077316	0.9469821893	0.9469821893	0.737928163	0.3190026576	0.7206249411
28	0.5816280514	0.6045461341	0.1918483415	0.9469352986	0.9469352986	0.7379605865	0.3190561581	0.7206539985
29	0.5799513645	0.6045542308	0.1918535925	0.9474979876	0.9474979876	0.738137429	0.3190953451	0.7209665907
30	0.579951114	0.6045492804	0.191850382	0.9475136179	0.9475136179	0.738138482	0.3190917908	0.7209665907
31	0.5799452217	0.6045934022	0.1918789985	0.9474120212	0.9474120212	0.7381405355	0.3191256083	0.7209667351
32	0.5796723724	0.6051100967	0.1922144409	0.9442312652	0.9442312652	0.7375571146	0.3194079291	0.7213947326
33	0.5796682952	0.6050840585	0.1921975224	0.9444110131	0.9444110131	0.7375925993	0.3193948508	0.7214041877
34	0.5792522667	0.6067163612	0.1932610773	0.937424291	0.937424291	0.7366565396	0.3204563063	0.7223998845
35	0.5784937569	0.6106988053	0.1958813276	0.9239275694	0.9239275694	0.7353470162	0.3232340079	0.7244016032
36	0.5769746442	0.6115482014	0.1964449065	0.9213798385	0.9213798385	0.7351528166	0.3238439247	0.7244944647
37	0.5769744929	0.6114692809	0.1963924719	0.9217002587	0.9217002587	0.7351977454	0.3237924497	0.7244944647
38	0.576971786	0.611090054	0.1961407156	0.9231460569	0.9231460569	0.7353827351	0.3235391191	0.724499777
39	0.5768331559	0.611120405	0.1961608524	0.9248888298	0.9248888298	0.7359570808	0.3236734002	0.7246358273
40	0.5767267386	0.6113871747	0.196337936	0.9235602585	0.9235602585	0.7357292959	0.3238328552	0.7246832216
41	0.5749751132	0.6174886643	0.2004336907	0.9137913518	0.9137913518	0.7369727226	0.328756878	0.7262769553
42	0.574954189	0.6174570775	0.2004122602	0.9140805114	0.9140805114	0.7370442427	0.3287467554	0.7263052847
43	0.5748599789	0.6171405985	0.2001976721	0.9149714357	0.9149714357	0.737108001	0.3285154694	0.7265152956
44	0.5746709755	0.6174731967	0.2004231962	0.9134553014	0.9134553014	0.7368523947	0.3287210077	0.7266787065
45	0.5746317005	0.6176628694	0.2005519258	0.9132677384	0.9132677384	0.7369263753	0.3288819718	0.7267327262
46	0.5745142284	0.618822925	0.2013411288	0.9067030331	0.9067030331	0.7356002303	0.3295114373	0.7268693097
47	0.5742417892	0.6184220615	0.2010680493	0.9092351337	0.9092351337	0.7361482243	0.3293120968	0.7271887285
48	0.5742400925	0.6183882669	0.2010450451	0.9092976547	0.9092976547	0.7361447701	0.3292853423	0.727191192
49	0.5742288915	0.618393326	0.2010484887	0.9090241253	0.9090241253	0.7360587006	0.3292720211	0.7272026984
