iter	Logloss	Precision:use_weights=true	Precision:use_weights=false	Recall:use_weights=true	Recall:use_weights=false	F1:use_weights=true	F1:use_weights=false	AUC
0	0.6440729951	0.5974540888	0.1873046119	0.9725298342	0.9725298342	0.740188377	0.3141126284	0.6672907341
1	0.6203705545	0.597437942	0.1872943924	0.972639246	0.972639246	0.7402076711	0.3141039635	0.67398852
2	0.6113028428	0.5970626777	0.1870570411	0.9523277351	0.9523277351	0.7339652329	0.3126943803	0.6750062629
3	0.6111892303	0.5970578553	0.1870539929	0.9523589956	0.9523589956	0.733970873	0.3126918063	0.6750062629
4	0.6052133887	0.5978224302	0.1875378932	0.9596973983	0.9596973983	0.736720805	0.3137623633	0.7065163632
5	0.5903024164	0.5979528407	0.1876205562	0.9608462218	0.9608462218	0.7371581644	0.3139394295	0.7129545058
6	0.5901745771	0.5979334886	0.1876082872	0.9613229444	0.9613229444	0.7372837073	0.3139476864	0.7129545058
7	0.5866825019	0.5986858922	0.1880858997	0.96354244	0.96354244	0.7385082622	0.3147347811	0.7173200019
8	0.5854338582	0.5988354327	0.1881809717	0.9634721039	0.9634721039	0.7386013582	0.3148641211	0.7170787689
9	0.5843175296	0.5986936165	0.1880908093	0.9641129442	0.9641129442	0.7386816511	0.3147720763	0.7170529168
10	0.5842973974	0.5986835196	0.1880843917	0.9644489946	0.9644489946	0.7387725779	0.314780994	0.7170529168
11	0.5835915347	0.5990707508	0.1883306762	0.9628859695	0.9628859695	0.7386079437	0.3150422927	0.7172774631
12	0.5825250571	0.5991312801	0.1883692032	0.9631594989	0.9631594989	0.7387344165	0.3151108384	0.7173583268
13	0.5814261615	0.6000323978	0.1889437106	0.9609790789	0.9609790789	0.7387755818	0.3157967728	0.7196154664
14	0.5812183325	0.6001016706	0.1889879488	0.9608540369	0.9608540369	0.7387911265	0.3158518054	0.7198717752
15	0.5803878747	0.600642137	0.1893334568	0.9591112639	0.9591112639	0.7386842546	0.3162396026	0.7214648826
16	0.5803873032	0.6006329369	0.18932757	0.9591347093	0.9591347093	0.7386842505	0.3162326653	0.7214648826
17	0.5803067498	0.600537427	0.189266468	0.9601194151	0.9601194151	0.7389038098	0.3162008743	0.7217607044
18	0.5792458962	0.6021808918	0.1903206642	0.9563525247	0.9563525247	0.7390245343	0.3174638588	0.7219618082
19	0.5791066779	0.6019683608	0.1901840015	0.9572903397	0.9572903397	0.7391441798	0.3173252784	0.7225405999
20	0.5790824052	0.601884913	0.1901303697	0.9579624405	0.9579624405	0.7392814929	0.3172875073	0.7226437693
21	0.5787548735	0.6025552658	0.190561639	0.9569230288	0.9569230288	0.7394768006	0.3178305138	0.7234481296
22	0.5786073383	0.603282533	0.1910306503	0.9556100878	0.9556100878	0.7396312827	0.3184097869	0.7236859171
23	0.5786073225	0.6032698089	0.1910224345	0.955625718	0.955625718	0.7396264013	0.3183992418	0.7236859198
24	0.5786073181	0.6032724456	0.1910241369	0.9556491634	0.9556491634	0.7396354051	0.318402908	0.7236859198
25	0.5786073096	0.6032645889	0.1910190641	0.9556491634	0.9556491634	0.7396295001	0.318395861	0.7236859198
26	0.578455659	0.6037508372	0.1913332801	0.9545550458	0.9545550458	0.7396666012	0.3187712865	0.7241949669
27	0.5769147368	0.6121124133	0.1968201898	0.9387294169	0.9387294169	0.7410271217	0.3254122954	0.726409076
28	0.576041714	0.6148700213	0.1986651106	0.932563283	0.932563283	0.7411049046	0.3275515162	0.7267876516
29	0.575706609	0.6155093897	0.1990954236	0.930570426	0.930570426	0.7409382481	0.3280125946	0.7275038715
30	0.5757065048	0.6155029218	0.1990910657	0.9305391655	0.9305391655	0.7409236526	0.3280047382	0.7274983358
31	0.574292896	0.6157912404	0.1992854247	0.9297889135	0.9297889135	0.7408944362	0.3282217517	0.7284490456
32	0.5741865752	0.6158228233	0.1993067272	0.9297029471	0.9297029471	0.7408899996	0.3282452858	0.7284974568
33	0.5741651859	0.615791762	0.1992857765	0.9298123588	0.9298123588	0.740902257	0.3282236896	0.7284895976
34	0.5741651598	0.615789314	0.1992841255	0.9298358042	0.9298358042	0.7409079282	0.328222911	0.7284895976
35	0.5741516067	0.6159084109	0.1993644672	0.9291480732	0.9291480732	0.7407756534	0.3282889714	0.728334949
36	0.5740661336	0.6159293924	0.1993786246	0.9288198379	0.9288198379	0.7406864845	0.3282876692	0.7285808931
37	0.5740042017	0.6162100751	0.199568118	0.9281008464	0.9281008464	0.7406605552	0.328499489	0.7286897363
38	0.5739440806	0.6161799525	0.1995477728	0.928327485	0.928327485	0.74071095	0.3284861172	0.7288982901
39	0.573938841	0.6161859087	0.1995517955	0.928327485	0.928327485	0.7407152534	0.3284915676	0.7289176961
40	0.5739274228	0.6161556735	0.199531376	0.9283821909	0.9283821909	0.7407108201	0.3284673248	0.7289083843
41	0.5739274206	0.6161512071	0.1995283597	0.9283821909	0.9283821909	0.7407075927	0.3284632379	0.7289083843
42	0.573877637	0.6161451402	0.1995242628	0.928890174	0.928890174	0.7408648349	0.3284894647	0.7290906392
43	0.5737265105	0.6162080352	0.1995667402	0.9280226951	0.9280226951	0.7406341946	0.3284927266	0.7295133268
44	0.573703008	0.616309103	0.1996350181	0.9276006784	0.9276006784	0.7405727316	0.3285587544	0.7294591236
45	0.5734673918	0.6167704863	0.1999470218	0.9261548802	0.9261548802	0.7404441048	0.328890147	0.7299808588
46	0.5734579093	0.6167914117	0.1999611844	0.9259829474	0.9259829474	0.7404042283	0.3288984625	0.7299875089
47	0.5734579092	0.6167939047	0.1999628717	0.9259829474	0.9259829474	0.7404060244	0.3289007449	0.7299875103
48	0.5734273144	0.6169720177	0.2000834639	0.9254984096	0.9254984096	0.7403793435	0.329033244	0.7301058621
49	0.5734087913	0.6169041098	0.2000374776	0.9260376533	0.9260376533	0.7405029118	0.3290051103	0.7302329975
50	0.5722073455	0.6179170527	0.2007245737	0.9240135358	0.9240135358	0.7405829095	0.3298051724	0.7320780183
51	0.5721350925	0.6181146162	0.2008588711	0.923341435	0.923341435	0.7405087369	0.329943547	0.7321267147
52	0.5721350912	0.6181136012	0.2008581809	0.9233492501	0.9233492501	0.7405105218	0.3299431147	0.7321267113
53	0.5721350886	0.618114584	0.2008588492	0.9233648804	0.9233648804	0.7405162535	0.3299450143	0.7321267248
54	0.5721062281	0.618218346	0.2009294208	0.9231616871	0.9231616871	0.7405253462	0.3300272403	0.7321698211
55	0.5721062271	0.6182168271	0.2009283876	0.9231695023	0.9231695023	0.7405267709	0.330026346	0.7321698211
56	0.5716625434	0.6187485106	0.2012904063	0.9211375697	0.9211375697	0.7402528104	0.3303840596	0.7329941453
57	0.5716625434	0.6187485106	0.2012904063	0.9211375697	0.9211375697	0.7402528104	0.3303840596	0.7329941453
58	0.5714322321	0.6190217177	0.2014766957	0.9197699227	0.9197699227	0.7400060443	0.3305467358	0.733039404
59	0.5714322295	0.6190136098	0.2014711647	0.9197777378	0.9197777378	0.7400027802	0.3305397967	0.733039404
60	0.5705570389	0.620307555	0.2023558846	0.9140023602	0.9140023602	0.7390456957	0.3313519777	0.7339993893
61	0.5700848213	0.6201852743	0.2022721028	0.9147526122	0.9147526122	0.739203983	0.3312888818	0.7347379755
62	0.5687836636	0.6205074258	0.2024929063	0.9157685785	0.9157685785	0.7397644716	0.3316516637	0.7352582483
63	0.5681629105	0.6205863628	0.2025470485	0.9158076541	0.9158076541	0.7398333173	0.3317268428	0.7357195085
64	0.5671389741	0.6210358337	0.2028556259	0.9136897552	0.9136897552	0.7394599829	0.332001028	0.7368628678
65	0.5660446408	0.6221957597	0.2036542373	0.9092429488	0.9092429488	0.7388178242	0.3327732006	0.7377149527
66	0.5652919882	0.6218334173	0.2034044098	0.9110795033	0.9110795033	0.7391674678	0.3325621598	0.7379972316
67	0.5647090891	0.6220797183	0.2035741941	0.910188579	0.910188579	0.7390479276	0.3327295738	0.738524639
68	0.5639615939	0.6230795608	0.2042649539	0.9066952179	0.9066952179	0.7385966431	0.3334161955	0.7401017811
69	0.5630793442	0.6236038832	0.2046281773	0.9064060583	0.9064060583	0.7388688431	0.3338802958	0.7408630374
70	0.562076718	0.6246094196	0.2053266666	0.90308463	0.90308463	0.7384661435	0.334582221	0.7419582783
71	0.5617131567	0.624786572	0.2054499846	0.9031549661	0.9031549661	0.7386134629	0.3347507582	0.7423948596
72	0.5608705499	0.6260462748	0.2063291389	0.900466563	0.900466563	0.7385902344	0.3357304157	0.7442161299
73	0.5598250918	0.6269621451	0.2069708275	0.8996147143	0.8996147143	0.7389400246	0.3365198529	0.7457540606
74	0.5589901409	0.6285761386	0.2081067964	0.8947224458	0.8947224458	0.7383991371	0.3376729864	0.7473208258
75	0.558774448	0.6283512736	0.207948135	0.8956524457	0.8956524457	0.7385603432	0.3375301879	0.7477928113
76	0.557924818	0.6298240434	0.20898964	0.8924716897	0.8924716897	0.7384900529	0.338672511	0.7490788237
77	0.5574831351	0.630638349	0.2095678768	0.8905647991	0.8905647991	0.7383948887	0.3392932111	0.7498879653
78	0.5569765228	0.6312375108	0.2099944287	0.8895957236	0.8895957236	0.7384717502	0.3397814092	0.7509785535
79	0.5564871645	0.6316474569	0.2102868085	0.889126816	0.889126816	0.7385904696	0.3401297498	0.7519746509
80	0.5560047196	0.6333637239	0.2115156046	0.8845315223	0.8845315223	0.738167117	0.3413944804	0.7528530398
81	0.5555564752	0.6333010322	0.2114705844	0.8854224466	0.8854224466	0.7384345567	0.3414021184	0.7533746043
82	0.5553640802	0.6334685122	0.2115908781	0.8851489172	0.8851489172	0.738453223	0.3415385079	0.7535461435
83	0.5549708672	0.6340605233	0.2120166819	0.8847894214	0.8847894214	0.7387300444	0.3420661442	0.7541686432
84	0.5544896015	0.6348742859	0.2126034792	0.8827105981	0.8827105981	0.7385554067	0.3426731167	0.7547309819
85	0.553983919	0.6355223774	0.2130720585	0.8810459764	0.8810459764	0.7384097553	0.3431554436	0.7553440235
86	0.5535944237	0.6361272284	0.2135103746	0.8792875732	0.8792875732	0.7381988962	0.3435896261	0.7557433314
87	0.5535081953	0.6363017904	0.2136370542	0.8791781614	0.8791781614	0.7382778472	0.3437452734	0.7558496067
88	0.5532273174	0.6375110165	0.2145168118	0.8751924475	0.8751924475	0.7376790496	0.3445753846	0.756291871
89	0.5530108173	0.6377085158	0.2146608701	0.8751846323	0.8751846323	0.7378084746	0.3447606	0.7567319575
90	0.5528289702	0.6379144273	0.2148111754	0.8747079097	0.8747079097	0.7377767492	0.3449173801	0.7570473737
91	0.5526484058	0.6380450039	0.2149065486	0.8751533718	0.8751533718	0.7380225164	0.345074958	0.7574045672
92	0.5524307432	0.6387011402	0.2153864827	0.8737075736	0.8737075736	0.737946057	0.3455804393	0.7576566429
93	0.5521533246	0.6389781148	0.2155894241	0.8728948006	0.8728948006	0.7378406854	0.3457778865	0.7580806422
