iter	Passed	Remaining
0	509	198684
1	1034	201301
2	1313	169930
3	1589	153797
4	1883	145389
5	2396	153781
6	2724	149455
7	2859	136921
8	3382	143571
9	3731	142171
10	3848	132942
11	4546	143591
12	4877	141828
13	5050	135998
14	5487	137565
15	5863	137417
16	6399	140784
17	6798	140876
18	6910	135292
19	7282	135091
20	7607	134044
21	7828	131310
22	8085	129369
23	8372	128031
24	8492	124335
25	9035	126837
26	9154	123415
27	9629	124833
28	10002	124859
29	10205	122804
30	10563	122674
31	10956	122913
32	11197	121472
33	11326	118927
34	11798	120012
35	12058	118912
36	12559	120164
37	12846	119332
38	13239	119492
39	13350	117150
40	13542	115609
41	13850	115094
42	14232	115186
43	14717	116071
44	14959	115022
45	15400	115502
46	15672	114712
47	16200	115767
48	16312	113854
49	16669	113688
50	16781	111876
51	17128	111665
52	17551	111934
53	17794	111051
54	18290	111737
55	18402	110088
56	18849	110453
57	19018	109195
58	19399	109163
59	19950	110062
60	20267	109644
61	20765	110192
62	21026	109473
63	21201	108323
64	21745	109060
65	22152	109085
66	22696	109758
67	23219	110293
68	23697	110586
69	24204	110994
70	24733	111473
71	25288	112042
72	25635	111671
73	26153	112036
74	26473	111540
75	26801	111084
76	27291	111292
77	27801	111562
78	28343	111939
79	28896	112337
80	29479	112821
81	29931	112789
82	30323	112524
83	30698	112195
84	31260	112538
85	31653	112257
86	32140	112305
87	32556	112097
88	32923	111717
89	33415	111757
90	33831	111533
91	34348	111633
92	34820	111576
93	35341	111665
94	35850	111701
95	36356	111719
96	36823	111608
97	37494	112102
98	37886	111744
99	38401	111747
100	38881	111640
101	39420	111691
102	39915	111608
103	40378	111429
104	41015	111717
105	41525	111647
106	42001	111479
107	42502	111372
108	43007	111266
109	43351	110743
110	43821	110541
111	44342	110461
112	44899	110460
113	45191	109806
114	45573	109375
115	46079	109239
116	46599	109131
117	47090	108947
118	47641	108895
119	48197	108845
120	48651	108562
121	48994	108028
122	49421	107683
123	49919	107488
124	50281	106998
125	50725	106683
126	51323	106689
127	51837	106509
128	52223	106065
129	52650	105706
130	53176	105541
131	53691	105350
132	54215	105170
133	54717	104944
134	55145	104571
135	55462	103991
136	55932	103700
137	56447	103486
138	56971	103285
139	57359	102837
140	57915	102687
141	58358	102332
142	58684	101773
143	59139	101439
144	59718	101315
145	60210	101037
146	60588	100568
147	60945	100066
148	61368	99673
149	61846	99367
150	62397	99175
151	62857	98834
152	63379	98590
153	63812	98204
