iter	Passed	Remaining
0	456	177876
1	1088	211668
2	1471	190359
3	1957	189410
4	2420	186895
5	2922	187501
6	3344	183470
7	3548	169905
8	3683	156344
9	4191	159703
10	4394	151816
11	4607	145523
12	4723	137356
13	4946	133193
14	5187	130031
15	5514	129253
16	5720	125858
17	5956	123438
18	6462	126535
19	6674	123807
20	6859	120854
21	7065	118502
22	7500	120011
23	7706	117852
24	7812	114377
25	8022	112622
26	8336	112391
27	8487	110038
28	8713	108773
29	9123	109785
30	9232	107221
31	9391	105364
32	9753	105812
33	10061	105650
34	10485	106650
35	10877	107267
36	11292	108041
37	11404	105937
38	11641	105072
39	12005	105349
40	12352	105447
41	12675	105329
42	12819	103745
43	13080	103155
44	13457	103471
45	13806	103551
46	14085	103095
47	14452	103278
48	14721	102751
49	14874	101441
50	15158	101056
51	15388	100322
52	15794	100725
53	15905	99262
54	16070	98175
55	16506	98742
56	16893	98992
57	17000	97608
58	17108	96269
59	17492	96500
60	17891	96791
61	18293	97071
62	18613	96907
63	19016	97160
64	19214	96370
65	19554	96289
66	19889	96183
67	20297	96412
68	20697	96589
69	20984	96229
70	21344	96198
71	21642	95888
72	22025	95948
73	22460	96215
74	22820	96149
75	23179	96071
76	23545	96016
77	23948	96101
78	24335	96108
79	24687	95974
80	25074	95963
81	25469	95977
82	25891	96079
83	26319	96192
84	26722	96200
85	27124	96197
86	27523	96174
87	27953	96248
88	28377	96293
89	28736	96108
90	29219	96327
91	29598	96194
92	30052	96296
93	30446	96197
94	30873	96196
95	31303	96194
96	31693	96060
97	32142	96099
98	32616	96201
99	32979	95971
100	33420	95959
101	33810	95796
102	34160	95517
103	34608	95506
104	34998	95330
105	35380	95127
106	35800	95022
107	36315	95159
108	36704	94960
109	37164	94938
110	37503	94603
111	37890	94388
112	38247	94095
113	38657	93931
114	39010	93625
115	39445	93512
116	39843	93308
117	40313	93268
118	40767	93183
119	41241	93138
120	41759	93183
121	42167	92976
122	42584	92785
123	42991	92571
124	43434	92428
125	43892	92313
126	44263	92011
127	44675	91793
128	45067	91531
129	45444	91237
130	45871	91043
131	46252	90752
132	46600	90397
133	47000	90142
134	47453	89986
135	47894	89801
136	48364	89667
137	48801	89468
138	49225	89242
139	49675	89061
140	50075	88786
141	50505	88562
142	50909	88291
143	51351	88081
144	51732	87766
145	52103	87434
146	52500	87144
147	52969	86970
148	53347	86644
149	53737	86337
150	54136	86045
151	54588	85833
152	54944	85469
153	55305	85112
154	55719	84836
155	56115	84532
156	56537	84266
157	56972	84016
158	57348	83678
159	57710	83320
160	58076	82967
161	58431	82597
162	58802	82251
163	59187	81923
164	59635	81682
165	60083	81438
166	60425	81049
167	60851	80773
168	61240	80446
169	61689	80195
170	62148	79957
171	62520	79604
172	62905	79268
173	63367	79026
174	63725	78655
175	64235	78469
176	64614	78121
177	65016	77800
178	65493	77567
179	65892	77240
180	66302	76925
181	66684	76577
182	67146	76319
183	67585	76033
184	68002	75721
185	68448	75440
186	68828	75085
187	69243	74768
188	69677	74469
189	70083	74140
190	70457	73777
191	70829	73411
192	71272	73119
193	71743	72852
194	72195	72565
195	72659	72288
196	73160	72046
197	73749	71887
198	74231	71620
199	74741	71378
200	75152	71039
201	75570	70707
202	75977	70363
203	76393	70026
204	76810	69691
205	77183	69315
206	77615	68991
207	77985	68612
208	78385	68259
209	78780	67901
210	79230	67589
211	79593	67203
212	79999	66853
213	80443	66535
214	80787	66132
215	81201	65788
216	81580	65414
217	81987	65063
218	82438	64746
219	82885	64424
220	83307	64082
221	83694	63713
222	84121	63374
223	84518	63011
224	84991	62705
225	85359	62320
226	85765	61963
227	86222	61641
228	86579	61248
229	87007	60905
230	87374	60518
231	87802	60175
232	88177	59794
233	88588	59437
234	88927	59032
235	89330	58670
236	89754	58321
237	90165	57963
238	90535	57579
239	90948	57221
240	91328	56843
241	91763	56498
242	92141	56119
243	92499	55727
244	92940	55384
245	93327	55009
246	93700	54627
247	94118	54269
248	94492	53887
249	94904	53525
250	95302	53156
251	95688	52780
252	96117	52427
253	96513	52056
254	96917	51689
255	97277	51298
256	97726	50954
257	98114	50578
258	98471	50186
259	98843	49802
260	99272	49446
261	99679	49078
262	100091	48713
263	100453	48324
264	100826	47940
265	101239	47575
266	101613	47191
267	101979	46803
268	102400	46441
269	102772	46057
270	103214	45704
271	103712	45374
272	104125	45006
273	104542	44640
274	104940	44265
275	105315	43881
276	105733	43514
277	106138	43142
278	106548	42772
279	106937	42392
280	107328	42014
281	107744	41645
282	108123	41262
283	108635	40929
284	109040	40555
285	109410	40168
286	109781	39781
287	110166	39399
288	110518	39006
289	110881	38617
290	111264	38235
291	111655	37855
292	112109	37497
293	112530	37127
294	112981	36766
295	113397	36394
296	113859	36036
297	114275	35663
298	114691	35289
299	115082	34908
300	115501	34535
301	115903	34156
302	116316	33781
303	116736	33408
304	117097	33017
305	117506	32640
306	117915	32263
307	118341	31890
308	118745	31511
309	119133	31128
310	119460	30729
311	119838	30343
312	120324	29984
313	120779	29617
314	121208	29244
315	121585	28857
316	121985	28476
317	122367	28090
318	122765	27708
319	123214	27338
320	123594	26952
321	123936	26557
322	124337	26176
323	124730	25793
324	125105	25406
325	125488	25020
326	125893	24639
327	126323	24263
328	126693	23875
329	127081	23490
330	127552	23121
331	128014	22749
332	128445	22371
333	128815	21983
334	129230	21602
335	129609	21215
336	130000	20830
337	130407	20448
338	130785	20061
